laboratory_name,surface_area,ceil_height,hoods,additional_equipment_min,additional_equipment_max,day_occupied_ach,day_unoccupied_ach,night_occupied_ach,night_unoccupied_ach,ach_day_start,ach_night_start,additional_evac,cost_cfm,avg_sash_height,day_occupancy_start,night_occupancy_start,day_occupancy_rate,night_occupancy_rate,weekend_day_occupancy_start,weekend_night_occupancy_start,weekend_day_occupancy_rate,weekend_night_occupancy_rate,fumehood_occupancy_rate,Notes
wong-250,785.226505,10,1 W-stand-150-270;nan nan;nan nan,0,0,8.04679893,3.092431782,8.04679893,3.092431782,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-251,320.76422,10,1 W-standard;nan nan;nan nan,0,0,6.737902376,3.527490067,6.737902376,3.527490067,09:00,18:00,0,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-270,648.094419,10,2 W-stand-120-270;nan nan;nan nan,201.2955,52.9725,7.768168113,5.473027534,7.768168113,5.473027534,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-220-380,227.441207,10,1 W-standard;nan nan;nan nan,95.3505,95.3505,16.82515429,9.558476358,16.82515429,9.558476358,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-1160,707.834064,10,2 W-standard;nan nan;nan nan,233.079,63.567,9.627090227,4.059183566,9.627090227,4.059183566,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-1170,713.000736,10,3 W-standard;nan nan;nan nan,201.2955,31.7835,9.557328704,4.707341003,9.557328704,4.707341003,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-1180,710.847956,10,2 W-standard;1.0 W-tall;nan nan,201.2955,31.7835,9.586272764,4.900445406,9.586272764,4.900445406,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-1220,114.204979,10,2 W-standard;nan nan;nan nan,31.7835,31.7835,18.36794699,18.36794699,18.36794699,18.36794699,09:00,18:00,99.5883,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-1310,1066.70249,10,4 W-standard;1.0 W-tall;nan nan,243.6735,105.945,9.248687889,5.470551212,9.248687889,5.470551212,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-2030,493.955371,10,2 W-standard;nan nan;nan nan,31.7835,31.7835,9.548780471,4.890211023,9.548780471,4.890211023,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-2240,771.986908,10,1 W-standard;nan nan;nan nan,63.567,63.567,11.8901949,4.512345435,11.8901949,4.512345435,09:00,18:00,250.0302,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-2241,202.36132,10,1 W-standard;nan nan;nan nan,0,0,9.109660878,5.654272269,9.109660878,5.654272269,09:00,18:00,0,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-2250,866.709228,10,1 W-standard;nan nan;nan nan,0,0,9.622593288,4.048530103,9.622593288,4.048530103,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-2430,407.413615,10,5 W-standard;nan nan;nan nan,31.7835,31.7835,12.17000566,12.17000566,12.17000566,12.17000566,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-2440,403.861528,10,1 W-standard;nan nan;nan nan,0,0,10.19939092,5.414491474,10.19939092,5.414491474,09:00,18:00,211.89,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-2590,547.236676,10,2 W-standard;nan nan;nan nan,31.7835,31.7835,9.548350155,4.414079147,9.548350155,4.414079147,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-2610,347.67397,10,2 W-stand-120-270;nan nan;nan nan,0,0,8.7760841,8.7760841,8.7760841,8.7760841,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-3052,180.080047,10,1 W-standard;nan nan;nan nan,31.7835,31.7835,18.84982738,8.118839507,18.84982738,8.118839507,09:00,18:00,99.5883,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-3270,1165.084536,10,1 W-standard;nan nan;nan nan,63.567,63.567,6.940030659,4.102911207,6.940030659,4.102911207,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-4080,676.080559,10,2 W-standard;nan nan;nan nan,243.6735,243.6735,13.21960835,5.885828467,13.21960835,5.885828467,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-4090,786.087617,10,2 W-standard;nan nan;nan nan,233.079,63.567,8.490828319,6.970565725,8.490828319,6.970565725,09:00,18:00,214.0089,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-4170,1150.768549,10,2 W-wide-165-610;nan nan;nan nan,243.6735,95.3505,8.009616711,5.070915959,8.009616711,5.070915959,09:00,18:00,211.89,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-4190,709.663927,10,1 W-tall;1.0 W-standard;nan nan,243.6735,95.3505,8.437812847,4.1203757,8.437812847,4.1203757,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-4290,1067.77888,10,3 W-standard;1.0 W-tall;nan nan,264.8625,95.3505,7.751064902,4.726839887,7.751064902,4.726839887,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-4340,214.309249,10,1 W-standard;nan nan;nan nan,0,0,11.33063277,6.584817998,11.33063277,6.584817998,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-5040,789.747343,10,1 W-standard;nan nan;nan nan,0,0,7.96853963,3.638161528,7.96853963,3.638161528,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-5050,791.361928,10,1 W-standard;1.0 W-wide-195-790;nan nan,201.2955,31.7835,7.952281728,5.253325505,7.952281728,5.253325505,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-5120,705.681284,10,1 W-standard;nan nan;nan nan,317.835,116.5395,8.485433206,3.711251041,8.485433206,3.711251041,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-5150,710.955595,10,2 W-standard;nan nan;nan nan,0,0,8.422482982,3.683718672,8.422482982,3.683718672,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-5180,713.000736,10,2 W-standard;nan nan;nan nan,0,0,8.39832429,3.67315245,8.39832429,3.67315245,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-5270,1066.70249,10,1 W-tall;nan nan;nan nan,105.945,105.945,12.24020936,1.692414536,12.24020936,1.692414536,09:00,18:00,300.8838,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,Lab not in BAS or hood survey
wong-6050,794.37582,10,1 W-tall-75-300;1.0 W-tall-30.25;nan nan,31.7835,31.7835,8.178178686,4.145104266,8.178178686,4.145104266,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-6120,710.525039,10,4 W-standard;nan nan;nan nan,434.3745,264.8625,7.604510332,7.604510332,7.604510332,7.604510332,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-6300,1052.494142,10,1 W-wide-40;1.0 W-tall;nan nan,0,0,7.996501324,4.421026412,7.996501324,4.421026412,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-7040,789.316787,10,3 W-standard;nan nan;nan nan,0,0,8.037313667,4.606556531,8.037313667,4.606556531,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-7050,791.039011,10,3 W-standard;nan nan;nan nan,31.7835,31.7835,8.051958641,4.596527288,8.051958641,4.596527288,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-7120,1067.671241,10,3 W-standard;nan nan;nan nan,561.5085,120.7773,7.751846338,3.655632605,7.751846338,3.655632605,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-7150,348.212165,10,1 W-standard;nan nan;nan nan,0,0,21.21260008,6.060742881,21.21260008,6.060742881,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-7190,227.656485,10,1 W-standard;nan nan;nan nan,0,0,11.28062221,7.594874356,11.28062221,7.594874356,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-7270,681.031953,10,2 W-standard;nan nan;nan nan,31.7835,31.7835,10.827351,4.218933322,10.827351,4.218933322,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-7300,707.295869,10,2 W-standard;nan nan;nan nan,201.2955,31.7835,8.484037675,4.062272277,8.484037675,4.062272277,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-7330,709.34101,10,1 W-standard;1.0 W-tall-34-75-330;nan nan,233.079,63.567,8.459576868,4.050560111,8.459576868,4.050560111,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
wong-7350,229.916904,10,1 W-standard;nan nan;nan nan,0,0,11.16971721,7.520205648,11.16971721,7.520205648,09:00,18:00,150.4419,5.25,,0.333333333,0.833333333,0.416666667,0.75,0.416666667,0.75,0.75,0.1,0,
